,canonical,available,frontenddate,id,introduction,lastmodified,title,type,dataurl,initialdate
0,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/03/31/rijksministerraad-verkiezingen-curacao-op-28-april-moeten-doorgaan',b'2017-03-31T10:00:00.000Z',b'2017-03-31T10:00:00.000Z',b'4adb1ee8-8ea4-4e70-871a-a9e31382bc35',b'<p>De Rijksministerraad heeft op voorstel van minister Plasterk van Binnenlandse Zaken en Koninkrijksrelaties besloten om spoedadvies bij de Raad van State van het Koninkrijk te vragen over enkele maatregelen om te verzekeren dat de verkiezingen voor de Staten van Cura\xc3\xa7ao op 28 april 2017 ordentelijk verlopen.</p>',b'2017-05-02T11:17:43.258Z',b'Rijksministerraad: Verkiezingen Cura\xc3\xa7ao op 28 april moeten doorgaan',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/4adb1ee8-8ea4-4e70-871a-a9e31382bc35',b'2017-03-31T12:00:00.000+02:00'
1,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/12/staat-gaat-in-hoger-beroep-tegen-uitspraak-fosfaatreductieregeling',b'2017-05-12T15:30:00.000Z',b'2017-05-12T15:30:00.000Z',b'ee733295-55e2-4b62-9690-1baf0756ba0f',b'<p>De Staat gaat in hoger beroep tegen de uitspraak van de rechter waarmee onlangs een beperkt aantal boerenbedrijven is uitgezonderd van de fosfaatreductieregeling. Voor alle andere melkveebedrijven blijft de fosfaatreductieregeling onverkort van toepassing.</p>',b'2017-05-15T09:14:23.530Z',b'Staat gaat in hoger beroep tegen uitspraak fosfaatreductieregeling',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/ee733295-55e2-4b62-9690-1baf0756ba0f',b'2017-05-12T17:30:00.000+02:00'
2,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/17/financieel-jaarverslag-2016-voor-het-eerst-in-jaren-een-begrotingsoverschot',b'2017-05-17T08:15:00.000Z',b'2017-05-17T08:15:00.000Z',b'c7b4b23f-fb4d-4427-8cef-8082417f648a',"b'<p>Het Rijk gaf vorig jaar voor het eerst sinds 2008 minder geld uit dan er binnenkwam. Dat zorgde voor een begrotingsoverschot van 2,9 miljard euro. Dat kwam vooral doordat de opbrengst uit belastingen en premies hoger lag dan verwacht. De uitgaven waren ook iets lager dan begroot. Daarnaast daalde ook de overheidsschuld aanzienlijk.</p>'",b'2017-05-22T07:37:24.339Z',b'Financieel Jaarverslag 2016: voor het eerst in jaren een begrotingsoverschot',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/c7b4b23f-fb4d-4427-8cef-8082417f648a',b'2017-05-17T10:15:00.000+02:00'
3,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/17/verantwoordingsbrief-2016',b'2017-05-17T08:15:00.000Z',b'2017-05-17T08:15:00.000Z',b'dfb74f72-8953-4250-99d8-9b28382bae60',"b'<p>Het overheidstekort is in 2016 omgebogen naar een begrotingsoverschot van 0,4%. De werkloosheid liep met 75.000 personen terug naar 6,0% van de beroepsbevolking. En de economische groei bedroeg vorig jaar 2,2%. Daarmee groeide de economie voor het derde jaar op rij.</p>'",b'2017-05-22T07:36:58.118Z',b'Verantwoordingsbrief 2016: Van overheidstekort naar begrotingsoverschot',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/dfb74f72-8953-4250-99d8-9b28382bae60',b'2017-05-17T10:15:00.000+02:00'
4,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/05/26/melkveesector-hoeft-minder-in-te-krimpen-door-goed-resultaat-fosfaatreductieplan',b'2017-05-26T10:15:00.000Z',b'2017-05-26T10:15:00.000Z',b'835c96a9-078a-4262-a6bc-627a64e1fe22',b'<p>Door de goede voortgang van het fosfaatreductieplan hoeft de melkveehouderij in de derde periode van dit jaar minder in te krimpen dan eerder was voorzien. Het reductiepercentage voor boeren wordt voor de derde periode vastgesteld op 12 procent in plaats van de eerder voorgenomen 20 procent. Het is de ambitie dit percentage ook te behouden voor de rest van dit jaar.</p>',b'2017-05-26T10:20:54.366Z',b'Melkveesector hoeft minder in te krimpen door goed resultaat fosfaatreductieplan',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/835c96a9-078a-4262-a6bc-627a64e1fe22',b'2017-05-26T12:15:00.000+02:00'
5,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/06/15/normenbrief-1-juli-2017-informatie-voor-gemeenten',b'2017-06-15T09:35:00.000Z',b'2017-06-15T09:35:00.000Z',b'a65332df-9ce8-466a-aced-5381d520490a',"b'<p>Het bruto wettelijk minimumloon is per 1 juli 2017 vastgesteld op \xe2\x82\xac 1.565,40 per maand (was: \xe2\x82\xac 1551,60). In verband hiermee zal het netto minimumloon, als bedoeld in artikel 37 van de Participatiewet per genoemde datum eveneens wijzigen.</p>'",b'2017-06-15T16:05:10.803Z',b'Normenbrief 1 juli 2017 - informatie voor gemeenten',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/a65332df-9ce8-466a-aced-5381d520490a',b'2017-06-15T11:35:00.000+02:00'
6,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/06/15/rekenregels-1-juli-2017',b'2017-06-15T15:23:00.000Z',b'2017-06-15T15:23:00.000Z',b'96828bd3-234c-4fcd-9ac1-2c892e72e647',"b'<p>In deze rekenregels zijn de gevolgen verwerkt van aanpassingen in het bruto wettelijk minimumloon, de sociale premies, belastingtarieven en heffingskortingen per 1 juli 2017 voor uitkeringsbedragen en grondslagen op het minimumniveau. Ook zijn de belangrijkste beleidswijzigingen met betrekking tot deze uitkeringsbedragen opgenomen.</p>'",b'2017-06-15T16:04:56.108Z',b'Rekenregels 1 juli 2017',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/96828bd3-234c-4fcd-9ac1-2c892e72e647',b'2017-06-15T17:23:00.000+02:00'
7,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/06/19/evaluatie-verkiezingen-aanpassing-kieswet-nodig',b'2017-06-19T19:24:00.000Z',b'2017-06-19T19:31:00.000Z',b'3949492d-7038-4519-9b5a-7f978b221765',"b'<p>Niet alle gemeenten en hoofdstembureaus hebben zich nauwgezet gehouden aan instructies om controles uit te voeren zodat eventuele fouten tijdig zouden worden ontdekt en gecorrigeerd. Dat was met name het geval in kieskring Den Bosch waar 8700 stemmen niet zijn meegeteld. In de andere kieskringen zijn, voor zover de Kiesraad heeft kunnen vaststellen, in totaal iets meer dan 300 stemmen niet geteld.</p>'",b'2017-06-19T19:32:17.402Z',b'Evaluatie verkiezingen: aanpassing Kieswet nodig',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/3949492d-7038-4519-9b5a-7f978b221765',b'2017-06-19T21:31:00.000+02:00'
8,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/08/18/melkveehouderij-eind-dit-jaar-weer-onder-europees-fosfaatplafond',b'2017-08-18T11:18:00.000Z',b'2017-08-18T11:18:00.000Z',b'61853fa1-f83d-4562-a861-56d9b39ac445',"b'<p>De fosfaatproductie in de melkveehouderij is in de eerste helft van dit jaar met 8,3 miljoen kilo gedaald. Hiermee komt Nederland aan het einde van het jaar weer onder het Europese fosfaatplafond. Dat is noodzakelijk om de bijzondere uitzonderingspositie van Nederlandse boeren, de zogeheten derogatie, te behouden. Voorwaarde is wel dat de boeren dit resultaat de komende maanden vasthouden en de veestapel niet meer laten groeien.</p>'",b'2017-08-22T13:13:25.766Z',b'Melkveehouderij eind dit jaar weer onder Europees fosfaatplafond',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/61853fa1-f83d-4562-a861-56d9b39ac445',b'2017-08-18T13:18:00.000+02:00'
9,b'https://www.rijksoverheid.nl/actueel/nieuws/2017/09/06/staat-ontvangt-ruim-700-miljoen-dividend',b'2017-09-07T12:43:00.000Z',b'2017-09-07T12:43:00.000Z',b'a1e18d90-3494-4687-a253-40698f954b08',b'<p>De Nederlandse staat heeft het afgelopen jaar ruim 700 miljoen euro aan dividend uit staatsdeelnemingen ontvangen. Dat blijkt uit het Jaarverslag Beheer Staatsdeelnemingen 2016 dat minister Dijsselbloem van Financi\xc3\xabn vandaag naar de Tweede Kamer heeft gestuurd.</p>',b'2017-09-08T07:06:27.112Z',b'Staat ontvangt ruim 700 miljoen dividend',b'nieuwsbericht',b'https://opendata.rijksoverheid.nl/v1/sources/rijksoverheid/infotypes/news/a1e18d90-3494-4687-a253-40698f954b08',b'2017-09-07T14:43:00.000+02:00'
